#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
       531                6.48             6.96557            0.430684
       532                3.92             6.95985            0.429912
       533                0.32             6.94739            0.429286
       534                   0             6.93438            0.428679
       535                0.08             6.92157            0.428069
       536                1.28             6.91104              0.4274
       537                0.72             6.89952             0.42676
       538                   2             6.89041            0.426064
       539                3.92              6.8849            0.425309
       540                5.12             6.88163            0.424534
       541                   8              6.8837            0.423754
       542                5.12             6.88044            0.422985
       543                3.92             6.87499            0.422241
       544                   2             6.86603             0.42156
       545                0.08             6.85358             0.42097
       546                0.72             6.84234            0.420349
       547                0.08             6.82998            0.419762
       548                1.28             6.81985            0.419118
       549                   0             6.80743            0.418539
       550                0.08              6.7952            0.417957
       551                1.28             6.78519            0.417318
       552                0.32             6.77348            0.416726
       553                0.32             6.76181            0.416136
       554                0.72              6.7509            0.415528
       555                0.08             6.73888            0.414953
       556                0.08             6.72691            0.414379
       557                0.08             6.71497            0.413807
       558                0.08             6.70308            0.413236
       559                0.72             6.69238            0.412636
       560                1.28             6.68271            0.412012
       561                0.72             6.67209            0.411415
       562                0.32             6.66078            0.410838
       563                0.32             6.64952            0.410263
       564                0.72             6.63901             0.40967
       565                0.08              6.6274            0.409109
       566                   0             6.61569            0.408554
       567                   0             6.60402               0.408
       568                   2             6.59592            0.407362
       569                9.68             6.60134            0.406682
       570                2.88             6.59481            0.406021
       571                0.32             6.58382            0.405459
       572                0.08             6.57245            0.404909
       573                0.08             6.56112            0.404361
       574                   0             6.54969            0.403818
       575                   0              6.5383            0.403277
       576                0.72             6.52819            0.402703
       577                0.72             6.51813            0.402131
       578                0.72              6.5081             0.40156
       579                0.32             6.49741            0.401009
       580                0.08             6.48634             0.40047
       581                   0             6.47518            0.399936
       582                2.88               6.469            0.399297
       583                2.88             6.46285            0.398659
       584                   2             6.45521             0.39805
       585                   2             6.44759            0.397442
       586                0.08             6.43672            0.396913
       587                   0             6.42576            0.396388
       588                0.08             6.41497            0.395861
       589                0.72              6.4053            0.395307
       590                0.08             6.39458            0.394782
       591                5.12             6.39242             0.39412
       592                5.12             6.39027             0.39346
       593                   2             6.38287            0.392866
       594                   0             6.37212            0.392352
       595                0.08             6.36155            0.391835
       596                0.32             6.35141            0.391309
       597                0.32             6.34131            0.390783
       598                   0              6.3307            0.390274
       599                   0             6.32013            0.389765
       600                2.88              6.3144            0.389158
       601                1.28             6.30602            0.388601
       602                2.88             6.30033            0.387997
       603                3.92             6.29638            0.387373
       604                3.92             6.29245            0.386752
       605                   2             6.28536            0.386178
       606                   0             6.27498             0.38568
       607                1.28             6.26675            0.385132
       608                0.72             6.25763            0.384607
       609                0.08             6.24749            0.384109
       610                0.32             6.23777            0.383602
       611                0.08             6.22769            0.383107
       612                0.32             6.21804            0.382602
       613                0.32             6.20842            0.382099
       614                0.08             6.19844            0.381607
       615                0.08             6.18849            0.381116
       616                0.32             6.17896            0.380617
       617                3.92              6.1753            0.380017
       618                2.88             6.16997             0.37944
       619                   2             6.16323            0.378887
       620                0.32             6.15381            0.378393
       621                0.08             6.14403             0.37791
       622                0.32             6.13466            0.377418
       623                0.72             6.12597            0.376913
       624                5.12             6.12436            0.376312
       625                6.48             6.12493             0.37571
       626                6.48              6.1255            0.375111
       627                   8             6.12848            0.374524
       628                9.68             6.13414            0.373971
       629                   8             6.13711            0.373388
       630               13.52             6.14883            0.372979
       631                9.68             6.15442             0.37243
       632                  18             6.17316            0.372312
       633               23.12             6.19994            0.372685
       634               23.12             6.22662            0.373051
