#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         377     -0.7568   -0.774077  0.00490984
         378     -0.6768    -0.77382  0.00490359
         379     -0.6784   -0.773568  0.00489711
         380     -0.6736   -0.773305  0.00489128
         381     -0.7528   -0.773251  0.00487874
         382     -0.7528   -0.773198  0.00486626
         383     -0.7512    -0.77314   0.0048539
         384     -0.7512   -0.773083  0.00484159
         385     -0.6736   -0.772825  0.00483591
         386     -0.5904   -0.772352  0.00484642
         387     -0.6768   -0.772105  0.00484018
         388       -0.68   -0.771868  0.00483352
         389     -0.7632   -0.771846  0.00482115
         390     -0.6832   -0.771618  0.00481414
         391     -0.6832   -0.771392  0.00480714
         392     -0.6824   -0.771165  0.00480023
         393     -0.6808   -0.770935  0.00479352
         394     -0.6816   -0.770709  0.00478672
         395     -0.6824   -0.770485  0.00477982
         396      -0.684   -0.770267  0.00477273
         397      -0.684   -0.770049  0.00476565
         398     -0.6016   -0.769626  0.00477244
         399     -0.6032   -0.769209  0.00477867
         400     -0.6888   -0.769008  0.00477095
         401     -0.7664   -0.769001  0.00475906
         402     -0.7672   -0.768997  0.00474722
         403      -0.768   -0.768995  0.00473544
         404     -0.7672    -0.76899  0.00472372
         405     -0.7672   -0.768986  0.00471206
         406     -0.6848   -0.768778  0.00470501
         407     -0.6816   -0.768564  0.00469833
         408       -0.76   -0.768543  0.00468686
         409     -0.7608   -0.768524  0.00467544
         410     -0.7648   -0.768515  0.00466404
         411     -0.7656   -0.768508   0.0046527
         412     -0.7672   -0.768505  0.00464141
         413     -0.6824   -0.768296  0.00463485
         414       -0.68   -0.768083  0.00462856
         415     -0.6784   -0.767867  0.00462245
         416     -0.5984    -0.76746  0.00462925
         417     -0.6008    -0.76706  0.00463537
         418       -0.52   -0.766469  0.00466181
         419      -0.604   -0.766081  0.00466678
         420     -0.6032   -0.765693  0.00467176
         421     -0.6024   -0.765305  0.00467674
         422      -0.604   -0.764923  0.00468125
         423     -0.6048   -0.764545  0.00468546
         424     -0.6032   -0.764164  0.00468984
         425     -0.6848   -0.763977  0.00468252
         426     -0.6864   -0.763795  0.00467507
         427     -0.6032   -0.763419  0.00467922
         428     -0.6032   -0.763045  0.00468324
         429      -0.676   -0.762842  0.00467672
         430     -0.6792   -0.762647  0.00466988
         431     -0.7608   -0.762643  0.00465905
         432       -0.84   -0.762822  0.00465171
         433     -0.7624   -0.762821  0.00464096
         434     -0.8416   -0.763003  0.00463382
         435     -0.8416   -0.763183  0.00462669
         436     -0.8416   -0.763363  0.00461957
         437     -0.7616   -0.763359    0.004609
         438     -0.7632   -0.763359  0.00459848
         439     -0.8424   -0.763539  0.00459153
         440       -0.84   -0.763713  0.00458438
         441     -0.7632   -0.763712  0.00457398
         442     -0.6816   -0.763526   0.0045674
         443     -0.7608    -0.76352   0.0045571
         444     -0.7616   -0.763515  0.00454684
         445     -0.8392   -0.763685   0.0045398
         446       -0.76   -0.763677  0.00452963
         447     -0.6832   -0.763497  0.00452307
         448      -0.684    -0.76332  0.00451645
         449     -0.6848   -0.763145  0.00450978
