#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
       414                   0            0.152947           0.0185281
       415               -0.08            0.152386            0.018492
       416               -0.08            0.151827           0.0184559
       417                0.04            0.151559           0.0184136
       418                   0            0.151196           0.0183731
       419                 0.2            0.151313           0.0183297
       420                0.16            0.151333            0.018286
       421                0.12            0.151259           0.0182427
       422                 0.2            0.151374           0.0181999
       423                0.24            0.151584           0.0181581
       424                0.16            0.151604           0.0181153
       425                0.24            0.151812           0.0180738
       426                0.32            0.152207           0.0180357
       427                0.16            0.152225           0.0179935
       428                0.16            0.152243           0.0179514
       429                -0.2            0.151422           0.0179284
       430               -0.04            0.150977           0.0178922
       431                0.04            0.150719           0.0178525
       432                   0             0.15037           0.0178146
       433                0.12              0.1503           0.0177736
       434                0.08            0.150138           0.0177334
       435                0.08            0.149977           0.0176934
       436                0.08            0.149817           0.0176535
       437                0.08            0.149657           0.0176138
       438                0.16             0.14968           0.0175736
       439                0.12            0.149613           0.0175337
       440                   0            0.149273           0.0174972
       441                0.16            0.149297           0.0174575
       442                0.08             0.14914           0.0174187
       443                0.04            0.148894           0.0173812
       444                0.08            0.148739           0.0173427
       445               -0.04            0.148315           0.0173089
       446                   0            0.147982           0.0172733
       447                0.16            0.148009           0.0172347
       448                 0.2            0.148125           0.0171966
       449                0.24             0.14833           0.0171595
       450                0.12            0.148267           0.0171215
       451                 0.2            0.148381           0.0170839
       452                 0.2            0.148496           0.0170465
       453                0.32            0.148874           0.0170131
       454                 0.2            0.148987            0.016976
       455                   0            0.148659           0.0169418
       456                0.04            0.148421           0.0169064
       457                0.08            0.148271             0.01687
       458                0.04            0.148035           0.0168348
       459                   0            0.147712           0.0168013
       460               -0.08            0.147217            0.016772
       461                   0            0.146898           0.0167387
       462                0.04            0.146667            0.016704
       463                0.16            0.146695            0.016668
       464                0.28            0.146983           0.0166345
       465                0.32            0.147355           0.0166029
       466                0.36            0.147811           0.0165736
       467                 0.4            0.148351           0.0165469
       468                0.32            0.148718           0.0165156
       469                0.16            0.148742           0.0164804
       470               -0.08            0.148255           0.0164525
       471               -0.32            0.147261           0.0164476
       472               -0.16             0.14661           0.0164256
       473               -0.24            0.145793           0.0164112
       474                -0.2            0.145063           0.0163928
       475               -0.24            0.144253           0.0163783
       476                -0.2            0.143529           0.0163599
       477                -0.2            0.142809           0.0163414
