#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         622    -4.79352    -4.88978   0.0108181
         623    -4.84471    -4.88971    0.010801
         624    -4.83111    -4.88962   0.0107841
         625    -4.89238    -4.88962   0.0107668
         626    -4.94719    -4.88971     0.01075
         627     -4.8761    -4.88969   0.0107329
         628    -4.84637    -4.88962    0.010716
         629    -5.04712    -4.88987   0.0107019
         630    -5.09525     -4.8902   0.0106899
         631    -5.10636    -4.89054   0.0106784
         632    -4.96892    -4.89067   0.0106622
         633     -4.9224    -4.89072   0.0106455
         634    -4.87221    -4.89069   0.0106288
         635    -4.75215    -4.89047   0.0106143
         636     -4.7189     -4.8902    0.010601
         637    -4.56385    -4.88969   0.0105967
         638    -4.65661    -4.88932   0.0105864
         639    -4.61952     -4.8889   0.0105783
         640    -4.63476     -4.8885   0.0105692
         641    -4.60654    -4.88806   0.0105619
         642     -4.7143    -4.88779   0.0105489
         643    -4.90091    -4.88781   0.0105325
         644    -4.89469    -4.88782   0.0105161
         645    -4.78968    -4.88767   0.0105009
         646    -4.88448    -4.88767   0.0104847
         647     -4.9076     -4.8877   0.0104685
         648    -4.93833    -4.88777   0.0104527
         649    -5.18919    -4.88824   0.0104469
         650    -5.06188    -4.88851   0.0104342
         651    -5.12506    -4.88887   0.0104245
         652    -4.89135    -4.88887   0.0104085
         653    -4.85241    -4.88882   0.0103927
         654    -4.90601    -4.88884   0.0103769
         655    -4.95818    -4.88895   0.0103616
         656    -4.92512      -4.889   0.0103459
         657    -4.74505    -4.88879   0.0103325
         658    -4.68261    -4.88847   0.0103215
         659     -4.4785    -4.88785   0.0103246
         660    -4.51833    -4.88729   0.0103241
         661    -4.68614    -4.88699    0.010313
         662    -4.65876    -4.88664   0.0103032
         663    -4.79761    -4.88651   0.0102885
         664    -4.83845    -4.88643   0.0102733
