#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         596    0.618546    0.640548  0.00608348
         597    0.617771     0.64051  0.00607341
         598    0.616976    0.640471  0.00606338
         599    0.616162     0.64043  0.00605339
         600    0.615331    0.640388  0.00604345
         601    0.614484    0.640345  0.00603355
         602    0.613619    0.640301  0.00602369
         603    0.612735    0.640255  0.00601387
         604    0.611835    0.640208   0.0060041
         605    0.610919    0.640159  0.00599437
         606    0.609986     0.64011  0.00598468
         607    0.609038    0.640058  0.00597504
         608    0.608074    0.640006  0.00596545
         609    0.607097    0.639952   0.0059559
         610    0.606106    0.639896  0.00594639
         611    0.605102    0.639839  0.00593693
         612    0.604086    0.639781  0.00592752
         613     0.60306    0.639721  0.00591815
         614    0.602023     0.63966  0.00590883
         615    0.600979    0.639597  0.00589956
         616    0.599928    0.639532  0.00589033
         617    0.598872    0.639467  0.00588116
         618    0.597814    0.639399  0.00587202
         619    0.596754     0.63933  0.00586294
         620    0.595695     0.63926  0.00585391
         621    0.594638    0.639188  0.00584492
         622    0.593586    0.639115  0.00583599
         623     0.59254     0.63904   0.0058271
         624    0.591502    0.638964  0.00581826
         625    0.590472    0.638886  0.00580946
         626    0.589451    0.638807  0.00580072
         627    0.588442    0.638727  0.00579203
         628    0.587444    0.638645  0.00578338
         629     0.58646    0.638562  0.00577478
         630    0.585489    0.638478  0.00576623
         631    0.584531    0.638392  0.00575772
         632    0.583587    0.638306  0.00574927
         633    0.582657    0.638218  0.00574085
         634    0.581743    0.638129  0.00573249
         635    0.580843    0.638039  0.00572417
         636    0.579957    0.637947   0.0057159
         637    0.579085    0.637855  0.00570768
         638    0.578228    0.637761  0.00569949
         639    0.577386    0.637667  0.00569136
         640    0.576559    0.637571  0.00568327
         641    0.575748    0.637475  0.00567522
         642    0.574953    0.637378  0.00566721
         643    0.574174    0.637279  0.00565925
         644    0.573414     0.63718  0.00565133
         645    0.572674     0.63708  0.00564346
         646    0.571955    0.636979  0.00563562
         647    0.571259    0.636878  0.00562783
         648     0.57059    0.636775  0.00562007
         649     0.56995    0.636672  0.00561235
         650    0.569342    0.636569  0.00560468
         651     0.56877    0.636465  0.00559703
         652    0.568238     0.63636  0.00558943
         653    0.567749    0.636255  0.00558186
         654    0.567309     0.63615  0.00557432
         655    0.566922    0.636044  0.00556681
