#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         284   -0.500657   -0.514877  0.00111084
         285   -0.501801   -0.514831  0.00110789
         286   -0.502984   -0.514789  0.00110479
         287   -0.504198   -0.514752  0.00110155
         288   -0.505446    -0.51472   0.0010982
         289   -0.506711   -0.514692  0.00109475
         290   -0.508003   -0.514669  0.00109122
         291   -0.509304   -0.514651  0.00108763
         292   -0.510616   -0.514637  0.00108399
         293   -0.511932   -0.514628  0.00108033
         294   -0.513245   -0.514623  0.00107667
         295    -0.51455   -0.514623  0.00107302
         296   -0.515845   -0.514627   0.0010694
         297   -0.517123   -0.514635  0.00106583
         298   -0.518378   -0.514648  0.00106233
         299   -0.519612   -0.514665   0.0010589
         300   -0.520813   -0.514685  0.00105557
         301   -0.521979   -0.514709  0.00105234
         302   -0.523111   -0.514737  0.00104923
         303   -0.524199   -0.514768  0.00104623
         304   -0.525247   -0.514803  0.00104336
         305    -0.52624    -0.51484  0.00104061
         306   -0.527187   -0.514881  0.00103799
         307   -0.528078   -0.514924   0.0010355
         308   -0.528915   -0.514969  0.00103313
         309   -0.529692   -0.515017  0.00103089
         310   -0.530407   -0.515066  0.00102876
         311   -0.531067   -0.515118  0.00102673
         312   -0.531654   -0.515171  0.00102481
         313   -0.532177   -0.515225  0.00102298
         314   -0.532637   -0.515281  0.00102122
         315   -0.533022   -0.515337  0.00101953
         316   -0.533339   -0.515394  0.00101789
         317   -0.533586   -0.515451   0.0010163
         318   -0.533766   -0.515509  0.00101473
         319   -0.533867   -0.515566  0.00101318
         320   -0.533898   -0.515624  0.00101164
         321   -0.533856   -0.515681  0.00101008
         322   -0.533743   -0.515737   0.0010085
         323   -0.533554   -0.515792  0.00100688
         324   -0.533291   -0.515846  0.00100522
         325   -0.532955   -0.515898  0.00100351
         326   -0.532548    -0.51595  0.00100173
         327   -0.532065   -0.515999 0.000999875
         328   -0.531508   -0.516046 0.000997944
         329   -0.530879   -0.516091 0.000995928
         330   -0.530178   -0.516134 0.000993825
         331    -0.52941   -0.516174 0.000991631
         332   -0.528573   -0.516211 0.000989348
         333   -0.527669   -0.516246 0.000986975
         334   -0.526703   -0.516277 0.000984516
         335   -0.525667   -0.516305 0.000981976
         336   -0.524572    -0.51633 0.000979362
         337   -0.523412   -0.516351 0.000976681
         338   -0.522204   -0.516368 0.000973945
         339   -0.520933   -0.516381 0.000971165
         340   -0.519611   -0.516391 0.000968355
         341   -0.518241   -0.516396 0.000965531
         342   -0.516828   -0.516398 0.000962708
         343   -0.515369   -0.516395 0.000959906
         344   -0.513875   -0.516387 0.000957144
         345   -0.512355   -0.516376 0.000954441
         346   -0.510807    -0.51636 0.000951818
         347   -0.509235   -0.516339 0.000949296
         348    -0.50765   -0.516314 0.000946897
         349    -0.50605   -0.516285  0.00094464
         350   -0.504452   -0.516251 0.000942546
         351   -0.502856   -0.516213 0.000940633
         352    -0.50127    -0.51617 0.000938918
         353   -0.499697   -0.516124 0.000937417
         354   -0.498147   -0.516073 0.000936144
         355    -0.49663   -0.516018 0.000935108
         356   -0.495158   -0.515959 0.000934315
         357   -0.493725   -0.515897 0.000933771
         358   -0.492342   -0.515831 0.000933478
         359   -0.491025   -0.515762 0.000933432
         360   -0.489767    -0.51569 0.000933628
         361   -0.488581   -0.515615 0.000934057
         362   -0.487477   -0.515537 0.000934705
         363    -0.48646   -0.515457 0.000935556
         364   -0.485525   -0.515375 0.000936593
         365    -0.48469   -0.515291 0.000937792
         366   -0.483954   -0.515205  0.00093913
         367    -0.48332   -0.515118 0.000940581
         368   -0.482795    -0.51503 0.000942118
         369   -0.482375   -0.514942 0.000943712
         370    -0.48207   -0.514853 0.000945334
         371   -0.481871   -0.514764 0.000946957
         372   -0.481783   -0.514676 0.000948553
         373   -0.481811   -0.514587 0.000950093
         374   -0.481944     -0.5145 0.000951553
         375   -0.482189   -0.514414 0.000952909
         376   -0.482541   -0.514329 0.000954138
         377   -0.482994   -0.514246  0.00095522
         378   -0.483545   -0.514165  0.00095614
         379   -0.484194   -0.514086 0.000956882
         380   -0.484937   -0.514009 0.000957433
         381   -0.485769   -0.513935 0.000957785
         382   -0.486687   -0.513864  0.00095793
         383   -0.487682   -0.513795 0.000957865
         384   -0.488757    -0.51373 0.000957587
         385   -0.489895   -0.513668 0.000957099
         386   -0.491099    -0.51361 0.000956404
         387   -0.492362   -0.513555 0.000955507
         388   -0.493679   -0.513504 0.000954417
         389    -0.49504   -0.513456 0.000953143
         390   -0.496445   -0.513413 0.000951696
         391   -0.497886   -0.513373 0.000950091
         392   -0.499357   -0.513337 0.000948339
         393    -0.50086   -0.513305 0.000946458
         394   -0.502377   -0.513278 0.000944462
         395   -0.503904   -0.513254 0.000942369
         396   -0.505445   -0.513234 0.000940195
         397   -0.506996   -0.513218 0.000937958
         398   -0.508543   -0.513207 0.000935675
         399   -0.510086   -0.513199 0.000933363
         400   -0.511628   -0.513195 0.000931038
         401   -0.513162   -0.513195 0.000928716
         402   -0.514686   -0.513199 0.000926413
         403   -0.516195   -0.513206 0.000924144
         404   -0.517689   -0.513217 0.000921923
         405   -0.519161   -0.513232 0.000919764
         406   -0.520604    -0.51325 0.000917678
         407   -0.522027   -0.513271 0.000915676
         408   -0.523424   -0.513296  0.00091377
         409   -0.524793   -0.513324 0.000911968
         410   -0.526135   -0.513356 0.000910279
         411   -0.527436    -0.51339 0.000908708
         412   -0.528719   -0.513427 0.000907264
         413   -0.529967   -0.513467 0.000905951
         414   -0.531173    -0.51351 0.000904772
         415   -0.532353   -0.513555  0.00090373
         416   -0.533489   -0.513603 0.000902827
         417    -0.53459   -0.513654 0.000902064
         418   -0.535648   -0.513706 0.000901439
         419   -0.536672   -0.513761 0.000900952
         420   -0.537651   -0.513818 0.000900601
         421   -0.538589   -0.513877 0.000900382
         422   -0.539491   -0.513937 0.000900292
         423   -0.540352      -0.514 0.000900326
         424   -0.541163   -0.514064 0.000900479
         425   -0.541933    -0.51413 0.000900745
         426   -0.542661   -0.514197 0.000901117
         427   -0.543347   -0.514265 0.000901589
         428   -0.543989   -0.514334 0.000902153
         429   -0.544587   -0.514405 0.000902802
         430   -0.545141   -0.514476 0.000903528
         431   -0.545648   -0.514549 0.000904322
         432   -0.546113   -0.514622 0.000905175
         433   -0.546536   -0.514695 0.000906081
         434   -0.546912    -0.51477 0.000907029
         435   -0.547244   -0.514844 0.000908011
         436   -0.547529   -0.514919 0.000909017
         437   -0.547776   -0.514994 0.000910041
         438    -0.54798    -0.51507 0.000911074
         439   -0.548139   -0.515145 0.000912108
         440   -0.548258    -0.51522 0.000913134
         441   -0.548331   -0.515295 0.000914145
         442   -0.548366    -0.51537 0.000915133
         443   -0.548363   -0.515445 0.000916093
         444    -0.54832   -0.515519 0.000917017
         445   -0.548238   -0.515592   0.0009179
         446   -0.548122   -0.515665 0.000918735
         447    -0.54797   -0.515737 0.000919518
         448   -0.547782   -0.515809 0.000920243
         449   -0.547557    -0.51588 0.000920906
         450   -0.547303    -0.51595 0.000921503
         451    -0.54702   -0.516018 0.000922031
         452   -0.546702   -0.516086 0.000922487
         453   -0.546361   -0.516153 0.000922869
