#  BLOCK      BIN       VELOCITY     AVE_POFV    CUM_POFV      ERROR
      17       8        2.26667       0.486111       0.471814     0.00581934
      17       9        2.53333       0.243056       0.247141     0.00271328
      17      10            2.8       0.277778       0.306373     0.00431858
      17      11        3.06667       0.138889       0.102124     0.00675601
      17      12        3.33333       0.104167       0.112337      0.0035722
      17      13            3.6      0.0347222      0.0347222              0
      17      14        3.86667      0.0694444      0.0694444              0
      17      15        4.13333      0.0347222      0.0347222              0
      17      16            4.4              0              0              0
      17      17        4.66667              0              0              0
      17      18        4.93333              0              0              0
      17      19            5.2              0              0              0
      17      20        5.46667              0              0              0
      17      21        5.73333              0              0              0
      17      22              6              0              0              0
      17      23        6.26667              0              0              0
      17      24        6.53333              0              0              0
      17      25            6.8              0              0              0
      17      26        7.06667              0              0              0
      17      27        7.33333              0              0              0
      17      28            7.6              0              0              0
      17      29        7.86667              0              0              0
      18       0       0.133333              0              0              0
      18       1            0.4      0.0347222      0.0347222              0
      18       2       0.666667       0.104167       0.104167              0
      18       3       0.933333         0.3125         0.3125              0
      18       4            1.2       0.416667       0.403164     0.00398974
      18       5        1.46667       0.555556       0.597994     0.00582265
      18       6        1.73333       0.590278       0.561343     0.00305004
      18       7              2       0.347222       0.356867     0.00366569
      18       8        2.26667       0.486111       0.472608     0.00554999
      18       9        2.53333       0.243056       0.246914     0.00257202
      18      10            2.8       0.277778       0.304784     0.00436107
      18      11        3.06667       0.138889       0.104167     0.00668229
      18      12        3.33333       0.104167       0.111883     0.00340246
      18      13            3.6      0.0347222      0.0347222              0
      18      14        3.86667      0.0694444      0.0694444              0
      18      15        4.13333      0.0347222      0.0347222              0
      18      16            4.4              0              0              0
      18      17        4.66667              0              0              0
      18      18        4.93333              0              0              0
      18      19            5.2              0              0              0
      18      20        5.46667              0              0              0
      18      21        5.73333              0              0              0
      18      22              6              0              0              0
      18      23        6.26667              0              0              0
      18      24        6.53333              0              0              0
      18      25            6.8              0              0              0
      18      26        7.06667              0              0              0
      18      27        7.33333              0              0              0
      18      28            7.6              0              0              0
      18      29        7.86667              0              0              0
      19       0       0.133333              0              0              0
      19       1            0.4      0.0347222      0.0347222              0
      19       2       0.666667       0.104167       0.104167              0
      19       3       0.933333         0.3125         0.3125              0
      19       4            1.2       0.416667       0.403874     0.00384253
      19       5        1.46667       0.555556        0.59576     0.00592915
      19       6        1.73333       0.590278       0.562865     0.00324753
      19       7              2       0.347222        0.35636     0.00350773
      19       8        2.26667       0.486111       0.473319     0.00530319
      19       9        2.53333       0.243056       0.246711     0.00244465
      19      10            2.8       0.277778       0.303363     0.00435701
      19      11        3.06667       0.138889       0.105994     0.00657574
      19      12        3.33333       0.104167       0.111477     0.00324753
      19      13            3.6      0.0347222      0.0347222              0
      19      14        3.86667      0.0694444      0.0694444              0
      19      15        4.13333      0.0347222      0.0347222              0
      19      16            4.4              0              0              0
      19      17        4.66667              0              0              0
      19      18        4.93333              0              0              0
      19      19            5.2              0              0              0
      19      20        5.46667              0              0              0
      19      21        5.73333              0              0              0
      19      22              6              0              0              0
      19      23        6.26667              0              0              0
      19      24        6.53333              0              0              0
      19      25            6.8              0              0              0
      19      26        7.06667              0              0              0
      19      27        7.33333              0              0              0
      19      28            7.6              0              0              0
      19      29        7.86667              0              0              0
      20       0       0.133333              0              0              0
      20       1            0.4      0.0347222      0.0347222              0
      20       2       0.666667       0.104167       0.104167              0
      20       3       0.933333       0.347222       0.314236     0.00169215
      20       4            1.2       0.381944       0.402778     0.00380363
      20       5        1.46667       0.555556        0.59375     0.00596374
      20       6        1.73333       0.590278       0.564236     0.00336196
      20       7              2       0.347222       0.355903     0.00336196
      20       8        2.26667       0.486111       0.473958     0.00507646
      20       9        2.53333       0.243056       0.246528     0.00232924
      20      10            2.8       0.277778       0.302083     0.00432288
      20      11        3.06667       0.138889       0.107639     0.00644937
      20      12        3.33333       0.104167       0.111111     0.00310565
      20      13            3.6      0.0347222      0.0347222              0
      20      14        3.86667      0.0694444      0.0694444              0
