#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
       402                 0.2            0.236219           0.0204187
       403                0.16             0.23603           0.0203689
       404                0.08            0.235644           0.0203222
       405                0.24            0.235654            0.020272
       406                 0.2            0.235567           0.0202223
       407                0.24            0.235577           0.0201726
       408                0.52            0.236275           0.0201352
       409                 0.2            0.236186           0.0200861
       410                0.28            0.236293           0.0200374
       411                0.28            0.236399            0.019989
       412                0.36            0.236699           0.0199427
       413                0.44            0.237191           0.0199005
       414                0.52            0.237874           0.0198641
       415                0.44            0.238361           0.0198222
       416                 0.4             0.23875           0.0197784
       417                0.28            0.238849           0.0197312
       418                0.52            0.239522           0.0196955
       419                 0.6            0.240382           0.0196673
       420                 0.6            0.241238           0.0196391
       421                0.68             0.24228             0.01962
       422                 0.6            0.243128           0.0195919
       423                0.64            0.244066            0.019568
       424                0.68            0.245094           0.0195488
       425                0.84            0.246494           0.0195529
       426                 0.6            0.247324           0.0195246
       427                0.76            0.248525           0.0195157
       428                0.84            0.249907            0.019519
       429                0.88            0.251375           0.0195287
       430                0.84            0.252744           0.0195312
       431                   1            0.254478           0.0195627
       432                   1            0.256204           0.0195934
       433                0.92            0.257737            0.019608
       434                   1            0.259447           0.0196373
       435                0.96            0.261057           0.0196581
       436                0.76            0.262202           0.0196462
       437                 0.8            0.263432           0.0196398
       438                 0.8            0.264658           0.0196331
       439                0.68            0.265604           0.0196112
       440                0.56            0.266273            0.019578
       441                0.28            0.266304           0.0195337
       442                0.44            0.266697           0.0194934
       443                 0.4            0.266998           0.0194517
       444                0.36            0.267207            0.019409
       445                0.52            0.267775           0.0193737
       446                0.52            0.268341           0.0193386
       447                0.48            0.268814           0.0193011
       448                0.44            0.269196           0.0192618
       449                0.76             0.27029           0.0192499
       450                0.84            0.271556           0.0192487
       451                 0.8            0.272727           0.0192416
       452                0.52            0.273274           0.0192068
       453                0.52            0.273819           0.0191722
       454                0.56            0.274449           0.0191403
       455                0.72            0.275429           0.0191233
       456                 0.6             0.27614           0.0190946
       457                0.84            0.277374           0.0190926
       458                 0.8            0.278515            0.019085
       459                 0.8            0.279651           0.0190772
       460                 0.6            0.280348           0.0190484
       461                0.52            0.280868           0.0190142
       462                 0.6            0.281558           0.0189856
       463                0.52            0.282073           0.0189516
       464                0.44            0.282414           0.0189138
       465                0.44            0.282753           0.0188761
       466                0.24            0.282661           0.0188359
       467                 0.4            0.282912           0.0187972
       468                 0.2            0.282735           0.0187579
       469                0.32            0.282814            0.018718
       470                0.48            0.283234           0.0186829
       471                0.32            0.283312           0.0186434
       472                0.32             0.28339           0.0186041
       473                0.48            0.283805           0.0185694
       474                0.44            0.284135           0.0185331
       475                0.44            0.284463            0.018497
       476                 0.4            0.284706           0.0184598
       477                0.36            0.284864           0.0184217
       478                0.32            0.284937           0.0183833
       479                0.36            0.285094           0.0183456
       480                0.16            0.284833           0.0183093
       481                0.08            0.284407           0.0182761
       482               -0.08            0.283651           0.0182539
       483                0.12            0.283313           0.0182192
       484                0.04             0.28281           0.0181885
       485                0.12            0.282474           0.0181541
       486                0.04            0.281975           0.0181236
       487                0.16            0.281725           0.0180881
       488                 0.4            0.281967           0.0180527
       489                0.64            0.282699           0.0180306
       490                0.48            0.283102           0.0179983
       491                0.56            0.283666           0.0179705
       492                0.48            0.284065           0.0179384
       493                0.44            0.284381           0.0179048
       494                0.32            0.284453           0.0178687
       495                 0.4            0.284687           0.0178341
       496                0.32            0.284758           0.0177983
       497                0.12            0.284427           0.0177656
       498                0.04            0.283936           0.0177367
       499               -0.08            0.283206           0.0177161
       500               -0.04             0.28256           0.0176925
       501               -0.04            0.281916           0.0176689
       502               -0.16            0.281036           0.0176556
       503               -0.12            0.280239           0.0176385
       504               -0.08            0.279524            0.017618
       505               -0.04            0.278891           0.0175944
       506                0.08            0.278498           0.0175641
       507                0.08            0.278107           0.0175338
       508                0.04            0.277638           0.0175055
       509                0.04            0.277171           0.0174774
       510               -0.28            0.276078           0.0174772
       511               -0.16            0.275225           0.0174638
       512               -0.24            0.274219           0.0174587
       513               -0.24            0.273216           0.0174534
       514               -0.04            0.272607           0.0174301
       515                0.16            0.272388           0.0173976
       516                 0.2            0.272248           0.0173644
       517                0.28            0.272263           0.0173309
       518                0.16            0.272046           0.0172988
       519                0.08            0.271676           0.0172694
       520                   0            0.271154           0.0172441
       521                0.16             0.27094           0.0172123
       522               -0.04            0.270345           0.0171896
       523                0.04            0.269904           0.0171624
       524                0.28            0.269924           0.0171297
