#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         445     -0.7704   -0.780097  0.00461016
         446     -0.7704   -0.780075  0.00459988
         447     -0.6096   -0.779694  0.00460537
         448     -0.6088   -0.779312  0.00461086
         449     -0.7752   -0.779303   0.0046006
         450     -0.8568   -0.779476   0.0045936
         451      -0.776   -0.779468  0.00458342
         452     -0.6104   -0.779094  0.00458852
         453     -0.6904   -0.778898  0.00458256
         454     -0.6912   -0.778705  0.00457654
         455     -0.7744   -0.778695  0.00456649
         456      -0.692   -0.778505  0.00456043
         457     -0.8568   -0.778677  0.00455367
         458      -0.776   -0.778671  0.00454373
         459      -0.696   -0.778491   0.0045374
         460      -0.772   -0.778477  0.00452756
         461     -0.8504   -0.778633  0.00452043
         462      -0.852   -0.778791  0.00451343
         463     -0.8504   -0.778946  0.00450633
         464     -0.8488   -0.779097  0.00449913
         465     -0.9288   -0.779418  0.00450096
         466     -0.8448   -0.779559  0.00449349
         467      -0.768   -0.779534  0.00448393
         468      -0.764   -0.779501  0.00447448
         469     -0.7664   -0.779473  0.00446502
         470     -0.7696   -0.779452  0.00445557
         471     -0.7664   -0.779424   0.0044462
         472     -0.6864   -0.779227  0.00444114
         473     -0.7696   -0.779207   0.0044318
         474     -0.7688   -0.779185  0.00442251
         475     -0.8488   -0.779331  0.00441562
         476      -0.848   -0.779476   0.0044087
         477     -0.8472   -0.779618  0.00440175
         478     -0.7664    -0.77959  0.00439262
         479     -0.6872   -0.779397  0.00438769
         480     -0.7632   -0.779363  0.00437868
         481     -0.7616   -0.779326  0.00436973
         482     -0.6784   -0.779117  0.00436568
         483     -0.8424   -0.779248   0.0043586
         484     -0.6808   -0.779045  0.00435434
         485     -0.7624    -0.77901   0.0043455
         486     -0.6808   -0.778808  0.00434125
         487     -0.7632   -0.778776  0.00433246
         488      -0.688    -0.77859  0.00432757
         489     -0.8528   -0.778742  0.00432138
         490     -0.7696   -0.778723   0.0043126
         491     -0.7712   -0.778708  0.00430385
         492     -0.7696   -0.778689  0.00429514
         493     -0.8488   -0.778832  0.00428878
         494     -0.8464   -0.778968  0.00428228
         495      -0.768   -0.778946  0.00427368
