#  BLOCK      BIN       VELOCITY     AVE_POFV    CUM_POFV      ERROR
      14      11            4.6              0      0.0123512     0.00333172
      14      12              5              0     0.00223214      0.0012478
      14      13            5.4      0.0231481     0.00945767     0.00274011
      14      14            5.8              0     0.00634921     0.00230662
      14      15            6.2              0     0.00426587      0.0019534
      14      16            6.6              0     0.00157077     0.00151363
      14      17              7              0              0              0
      14      18            7.4              0              0              0
      14      19            7.8              0              0              0
      15       0            0.2      0.0395833       0.019213     0.00411172
      15       1            0.6       0.122222      0.0878704     0.00982405
      15       2              1       0.167361          0.215       0.012767
      15       3            1.4        0.43125       0.314753      0.0198095
      15       4            1.8       0.477778       0.375077      0.0161954
      15       5            2.2       0.356481       0.406836      0.0180951
      15       6            2.6       0.421296       0.434059     0.00840365
      15       7              3       0.221528        0.29591      0.0158609
      15       8            3.4       0.169907       0.181852      0.0172948
      15       9            3.8      0.0527778      0.0940432      0.0103877
      15      10            4.2      0.0166667      0.0400309     0.00616819
      15      11            4.6              0      0.0115278     0.00320974
      15      12              5              0     0.00208333     0.00117345
      15      13            5.4      0.0231481      0.0103704     0.00270517
      15      14            5.8              0     0.00592593     0.00219134
      15      15            6.2              0     0.00398148     0.00184376
      15      16            6.6              0     0.00146605     0.00141634
      15      17              7              0              0              0
      15      18            7.4              0              0              0
      15      19            7.8              0              0              0
      16       0            0.2           0.05      0.0211372     0.00428137
      16       1            0.6      0.0884259      0.0879051     0.00921011
      16       2              1       0.228009       0.215813      0.0119949
      16       3            1.4       0.392361       0.319604       0.019156
      16       4            1.8       0.491204       0.382335      0.0167307
      16       5            2.2        0.35162       0.403385      0.0172901
      16       6            2.6        0.36875       0.429977     0.00881415
      16       7              3       0.275926       0.294661      0.0149187
      16       8            3.4       0.158565       0.180396       0.016275
      16       9            3.8      0.0719907      0.0926649     0.00982944
      16      10            4.2              0      0.0375289     0.00626959
      16      11            4.6              0      0.0108073     0.00308894
      16      12              5              0     0.00195312     0.00110731
      16      13            5.4      0.0231481       0.011169     0.00265136
      16      14            5.8              0     0.00555556     0.00208544
      16      15            6.2              0     0.00373264     0.00174523
      16      16            6.6              0     0.00137442     0.00133078
      16      17              7              0              0              0
      16      18            7.4              0              0              0
      16      19            7.8              0              0              0
      17       0            0.2      0.0699074       0.024006     0.00489726
      17       1            0.6       0.106019      0.0889706     0.00872975
      17       2              1       0.245602       0.217565      0.0114166
      17       3            1.4       0.394213       0.323992      0.0185251
      17       4            1.8       0.478241       0.387977      0.0166705
      17       5            2.2       0.358796       0.400763      0.0164708
      17       6            2.6       0.354398       0.425531      0.0093499
      17       7              3       0.234722       0.291136      0.0144517
      17       8            3.4       0.142361       0.178159      0.0154707
      17       9            3.8      0.0886574      0.0924292     0.00925407
      17      10            4.2     0.00393519      0.0355528      0.0062044
      17      11            4.6              0      0.0101716     0.00297193
      17      12              5              0     0.00183824     0.00104812
      17      13            5.4      0.0231481      0.0118736     0.00258734
      17      14            5.8              0     0.00522876     0.00198821
      17      15            6.2              0     0.00351307     0.00165633
      17      16            6.6              0     0.00129357     0.00125495
      17      17              7              0              0              0
      17      18            7.4              0              0              0
      17      19            7.8              0              0              0
      18       0            0.2       0.044213      0.0251286     0.00475212
      18       1            0.6       0.119213      0.0906507     0.00840489
      18       2              1       0.380787       0.226633      0.0139254
      18       3            1.4       0.336111       0.324666      0.0175082
      18       4            1.8       0.410648       0.389236      0.0157919
      18       5            2.2       0.324306       0.396515      0.0160941
      18       6            2.6       0.456944       0.427276     0.00899186
      18       7              3       0.173148       0.284581      0.0150622
      18       8            3.4       0.128704       0.175412      0.0148532
      18       9            3.8       0.102778      0.0930041     0.00875779
      18      10            4.2              0      0.0335777      0.0061661
      18      11            4.6              0     0.00960648     0.00286005
      18      12              5              0     0.00173611     0.00099485
      18      13            5.4     0.00185185      0.0113169     0.00250279
      18      14            5.8      0.0212963      0.0061214     0.00206845
      18      15            6.2              0      0.0033179     0.00157577
      18      16            6.6              0     0.00122171     0.00118729
      18      17              7              0              0              0
      18      18            7.4              0              0              0
      18      19            7.8              0              0              0
      19       0            0.2      0.0231481      0.0250244     0.00450315
      19       1            0.6        0.19537      0.0961623     0.00960106
      19       2              1       0.353009       0.233285      0.0146954
      19       3            1.4       0.321296       0.324488      0.0165876
      19       4            1.8       0.331481       0.386196      0.0152505
      19       5            2.2       0.446296       0.399135      0.0154589
      19       6            2.6        0.39537       0.425597     0.00867399
      19       7              3       0.182639       0.279215      0.0151951
      19       8            3.4       0.137269       0.173404      0.0142064
      19       9            3.8      0.0909722      0.0928972     0.00829751
      19      10            4.2              0      0.0318104     0.00608955
      19      11            4.6              0     0.00910088     0.00275385
      19      12              5              0     0.00164474    0.000946677
      19      13            5.4     0.00694444      0.0110867     0.00238162
      19      14            5.8      0.0162037     0.00665205     0.00202651
      19      15            6.2              0     0.00314327     0.00150248
      19      16            6.6              0     0.00115741     0.00112654
      19      17              7              0              0              0
      19      18            7.4              0              0              0
      19      19            7.8              0              0              0
      20       0            0.2     0.00925926      0.0242361     0.00434643
      20       1            0.6       0.140046      0.0983565     0.00936838
      20       2              1       0.357639       0.239502      0.0152192
      20       3            1.4       0.415972       0.329063      0.0163768
      20       4            1.8       0.352083       0.384491       0.014583
      20       5            2.2       0.397222       0.399039      0.0146862
      20       6            2.6       0.383102       0.423472     0.00849654
      20       7              3       0.217593       0.276134      0.0147444
      20       8            3.4        0.12963       0.171215      0.0136637
      20       9            3.8      0.0743056      0.0919676     0.00793453
      20      10            4.2              0      0.0302199     0.00598919
      20      11            4.6              0     0.00864583     0.00265348
      20      12              5              0      0.0015625    0.000902908
      20      13            5.4      0.0106481      0.0110648     0.00226264
